City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,thompson,55.7435,-97.8558,20.09,88,75,1.54,CA,1726775103
83,lompoc,34.6391,-120.4579,21.96,70,20,2.06,US,1726775377
84,saint-pierre,-21.3393,55.4781,22.82,73,75,1.54,RE,1726775378
85,caconda,-13.7333,15.0667,19.99,41,5,2.87,AO,1726775379
86,vila velha,-20.3297,-40.2925,24.97,78,40,5.66,BR,1726775380
87,dakhla,23.6848,-15.958,21.01,94,0,6.17,EH,1726775381
88,vadso,70.0744,29.7487,11.09,87,20,6.69,NO,1726775383
89,bandarbeyla,9.4942,50.8122,24.72,88,27,6.9,SO,1726775384
90,constantia,44.1833,28.65,17.61,65,23,7.93,RO,1726775192
91,bilibino,68.0546,166.4372,-0.85,89,36,1.57,RU,1726775386
92,fortuna,40.5982,-124.1573,16.1,100,20,4.12,US,1726775387
93,gadzhiyevo,69.2551,33.3362,10.46,72,98,14.07,RU,1726775388
94,hawaiian paradise park,19.5933,-154.9731,24.94,88,100,1.54,US,1726775389
95,avarua,-21.2078,-159.775,25.03,69,98,1.54,CK,1726775390
96,pisco,-13.7,-76.2167,20.03,64,0,4.12,PE,1726775391
97,ciudad sabinas hidalgo,26.5,-100.1667,33.95,50,77,4.3,MX,1726775392
98,san sebastian de la gomera,28.0916,-17.1133,22.2,78,0,1.54,ES,1726775120
99,vorgashor,67.5833,63.95,7.0,88,94,2.56,RU,1726775394
100,dudinka,69.4058,86.1778,1.87,96,100,5.08,RU,1726775395
101,nuku'alofa,-21.1333,-175.2,19.19,88,20,1.54,TO,1726775396
102,aykhal,66.0,111.5,0.27,99,100,6.08,RU,1726775397
103,kingscliff,-28.2667,153.5667,10.89,93,83,1.54,AU,1726775398
104,jamestown,42.097,-79.2353,26.68,51,0,1.54,US,1726775358
105,tamiahua,21.2667,-97.45,30.9,70,14,4.01,MX,1726775400
106,st. john's,47.5649,-52.7093,13.87,96,100,3.6,CA,1726775401
107,tocopilla,-22.092,-70.1979,20.46,63,23,5.75,CL,1726775159
108,pospelikha,51.95,81.7667,8.14,72,98,2.88,RU,1726775403
109,udachny,66.4167,112.4,0.21,98,100,6.11,RU,1726775404
110,priozersk,61.0393,30.1291,14.97,98,18,2.9,RU,1726775405
111,tarakan,3.3,117.6333,27.74,78,100,4.97,ID,1726775406
112,ambovombe,-25.1667,46.0833,22.06,82,15,2.85,MG,1726775407
113,tosontsengel,48.7567,98.2839,-4.11,97,47,0.61,MN,1726775408
114,mut,36.6439,33.4389,24.63,54,93,1.17,TR,1726775409
115,college,64.8569,-147.8028,6.97,85,100,6.69,US,1726775410
116,yeppoon,-23.1333,150.7333,18.04,93,8,1.57,AU,1726775411
117,tadine,-21.55,167.8833,20.12,69,99,3.58,NC,1726775412
118,arraial do cabo,-22.9661,-42.0278,23.98,73,40,11.32,BR,1726775149
119,minas de marcona,-15.2119,-75.1103,15.17,65,14,8.69,PE,1726775415
120,hafar al-batin,28.4328,45.9708,31.32,18,0,2.06,SA,1726775416
121,lucapa,-8.4192,20.7447,20.05,83,72,0.21,AO,1726775417
122,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,93,40,4.0,RU,1726775418
123,whitehorse,60.7161,-135.0538,8.23,90,75,1.03,CA,1726775419
124,ulcinj,41.9294,19.2244,15.55,78,91,4.0,ME,1726775420
125,nagqu,31.5,92.0,5.2,88,100,1.32,CN,1726775421
126,kristiansund,63.1115,7.732,13.36,88,75,1.54,NO,1726775323
127,east london,-33.0153,27.9116,15.5,52,100,6.45,ZA,1726775423
128,mirpur sakro,24.5474,67.6277,26.86,81,0,6.9,PK,1726775424
129,sechura,-5.5569,-80.8222,24.88,55,20,6.68,PE,1726775425
130,bubaque,11.2833,-15.8333,27.56,80,100,3.93,GW,1726775426
131,klyuchi,52.2667,79.1667,9.68,65,100,2.7,RU,1726775427
132,queenstown,-31.8976,26.8753,4.69,88,82,4.79,ZA,1726775428
133,bredasdorp,-34.5322,20.0403,8.36,91,11,3.08,ZA,1726775429
134,pangody,65.85,74.4859,7.73,92,100,2.12,RU,1726775430
135,rongelap,11.1635,166.8941,28.73,80,82,7.85,MH,1726775431
136,ushuaia,-54.8,-68.3,6.81,65,20,7.2,AR,1726775432
137,xique xique,-10.8217,-42.7311,30.21,37,0,1.1,BR,1726775433
138,longyearbyen,78.2186,15.6401,4.91,70,75,11.32,SJ,1726775434
139,sferracavallo,42.726,12.0956,15.91,89,67,2.46,IT,1726775435
140,pratt,37.6439,-98.7376,34.12,24,0,6.17,US,1726775400
141,gebeit,21.0667,36.3167,30.41,30,6,1.84,SD,1726775437
142,yamada,39.4667,141.95,19.51,95,100,2.64,JP,1726775438
143,okhotsk,59.3833,143.3,5.22,72,89,3.7,RU,1726775440
144,huadian,42.9633,126.7478,10.08,88,100,3.49,CN,1726775441
145,cabedelo,-6.9811,-34.8339,28.37,75,0,6.85,BR,1726775442
146,wattegama,6.7989,81.4808,25.61,70,100,3.39,LK,1726775240
147,westhill,57.1526,-2.2797,10.53,92,100,4.12,GB,1726775444
148,tazovsky,67.4667,78.7,5.16,80,100,2.89,RU,1726775445
149,camocim,-2.9022,-40.8411,28.81,59,4,10.48,BR,1726775446
150,dilling,12.05,29.65,24.66,67,12,2.84,SD,1726775447
151,prado,-17.3411,-39.2208,24.09,68,0,3.4,BR,1726775448
152,ilha de mocambique,-15.0342,40.7358,24.71,78,0,6.32,MZ,1726775449
153,ta`u,-14.2336,-169.5144,26.56,73,16,5.59,AS,1726775450
154,itumba,-9.4,33.1833,17.87,46,6,2.66,TZ,1726775451
155,san pedro pochutla,15.7333,-96.4667,33.17,57,35,3.61,MX,1726775452
156,mount gambier,-37.8333,140.7667,9.77,82,100,3.13,AU,1726775455
157,sierra grande,-41.606,-65.3557,16.85,37,98,10.76,AR,1726775456
158,keflavik,64.0049,-22.5624,6.24,81,75,3.09,IS,1726775457
159,saint-joseph,-21.3667,55.6167,22.21,82,26,4.4,RE,1726775458
160,trairi,-3.2778,-39.2689,26.59,68,5,5.8,BR,1726775459
161,vila franca do campo,37.7167,-25.4333,22.23,81,63,3.3,PT,1726775460
162,mount pearl,47.5166,-52.7813,13.41,97,100,3.6,CA,1726775261
163,uturoa,-16.7333,-151.4333,26.48,78,3,3.51,PF,1726775462
164,al hufuf,25.3646,49.5653,31.19,22,0,1.54,SA,1726775463
165,chibougamau,49.9168,-74.3659,17.79,94,75,3.6,CA,1726775464
166,sinabang,2.4803,96.3801,25.05,86,100,1.6,ID,1726775465
